station_id,indexes,nearest_forecast_long,nearest_forecast_lat,long,forecast,lat,year,month,day,hour
SN30305,[290 288],9.683806623208113,59.25384850918327,9.6637,267.11145,59.2485,2019.0,01,31,18
SN99720,[948 516],23.52720510968515,73.92279613584742,25.0133,274.43176,76.5097,2019.0,01,31,18
SN17870,[307 315],10.81783554318132,59.679046130066034,10.8107,268.1847,59.6703,2019.0,01,31,18
SN77425,[548 378],13.34252782660228,65.15489262626348,13.3667,260.74622,65.1662,2019.0,01,31,18
SN51990,[369 225],6.483960681134874,60.86609065156137,6.4733,266.7716,60.8655,2019.0,01,31,18
SN56960,[394 226],6.375419854924954,61.42588047095442,6.3758,268.00696,61.4202,2019.0,01,31,18
SN15262,[400 269],8.356418083989771,61.674283480220495,8.3685,258.79114,61.674,2019.0,01,31,18
SN76450,[573 351],11.834646171041815,65.6933532539902,11.8562,270.61633,65.7017,2019.0,01,31,18
SN76961,[280 101],1.7208507921653353,58.42609305183106,1.7178,276.2882,58.4178,2019.0,01,31,18
SN77350,[555 374],13.117780760851058,65.30961892432123,13.1427,260.9845,65.3125,2019.0,01,31,18
SN69661,[421 231],6.4398975031555015,62.04233653998207,6.4187,269.04114,62.0385,2019.0,01,31,18
SN32060,[297 278],9.219118335627375,59.39099755280729,9.2128,268.5558,59.3822,2019.0,01,31,18
SN62295,[450 251],7.224178027585323,62.7460241241431,7.2088,274.79797,62.756,2019.0,01,31,18
SN64242,[464 264],7.781419506695142,63.09265163594503,7.7978,272.9884,63.0857,2019.0,01,31,18
SN82410,[648 390],13.891959104990182,67.40449132496595,13.8958,272.70715,67.4048,2019.0,01,31,18
SN76928,[564 267],7.338916277311444,65.3330659292167,7.3156,278.0255,65.32285,2019.0,01,31,18
SN6840,[370 331],11.370071936814728,61.11324036077742,11.3633,260.71204,61.1215,2019.0,01,31,18
SN69625,[482 331],11.050272786594661,63.626628359894276,11.0718,269.4972,63.622,2019.0,01,31,18
SN93140,[771 537],23.35874995878959,69.9723085214319,23.3582,260.1505,69.9775,2019.0,01,31,18
SN20280,[328 304],10.261324204842133,60.13227681100304,10.2662,267.42786,60.1403,2019.0,01,31,18
SN71850,[509 301],9.41908361539154,64.18203911602747,9.4052,274.44446,64.1727,2019.0,01,31,18
SN72200,[513 337],11.262276101782005,64.33030901383228,11.2813,267.44446,64.3398,2019.0,01,31,18
SN17050,[291 314],10.819681176481021,59.31926524233427,10.8145,269.72668,59.3188,2019.0,01,31,18
SN81650,[627 415],15.34383608641821,66.93697526981218,15.3155,259.62122,66.9368,2019.0,01,31,18
SN85840,[660 370],12.700955788137975,67.66143927118796,12.7228,275.7091,67.6527,2019.0,01,31,18
SN26500,[319 297],9.978301670872709,59.918857805286876,9.9728,266.13684,59.9202,2019.0,01,31,18
