station_id,lat,long,year,month,day,hour,forecast,gridpp,observation,observation_quality,gridpp_error,number_of_observations
SN32890,59.497,8.1992,2019,5,13,12,8.512200000000007,7.585170000000005,8.6,0,1.0148299999999946,1352.0
SN29950,58.9688,10.148,2019,5,13,12,8.370600000000024,10.649999999999975,10.5,0,0.1499999999999755,1392.0
SN27420,59.1205,10.398,2019,5,13,12,12.287599999999998,13.795140000000004,11.5,0,2.2951400000000035,1386.0
SN13110,61.1697,10.4107,2019,5,13,12,9.163569999999993,11.693699999999978,10.5,0,1.1936999999999784,1328.0
SN30255,59.087234,9.6603635,2019,5,13,12,13.36669999999998,12.149999999999975,12.0,0,0.1499999999999755,1393.0
SN44610,59.0705,5.4122,2019,5,13,12,9.49169999999998,8.449999999999989,8.3,0,0.1499999999999879,1390.0
SN32061,59.3822,9.2118,2019,5,13,12,12.492680000000007,13.767359999999996,12.9,0,0.8673599999999961,1386.0
SN27010,59.713,10.146,2019,5,13,12,10.187999999999988,12.550000000000011,12.4,0,0.150000000000011,1380.0
SN65275,63.228,9.3853,2019,5,13,12,4.012200000000007,5.873019999999997,5.8,0,0.0730199999999969,1317.0
SN43895,58.5505,5.6815,2019,5,13,12,10.02879999999999,9.351929999999982,9.2,0,0.1519299999999823,1264.0
SN56895,61.3457,6.3215,2019,5,13,12,2.823730000000012,5.313840000000027,6.4,0,1.086159999999973,1301.0
SN18020,59.8775,10.8185,2019,5,13,12,12.16455000000002,12.866359999999986,10.7,0,2.1663599999999867,1377.0
SN84905,68.436,18.1035,2019,5,13,12,-0.4057599999999866,2.704799999999977,1.2,0,1.504799999999977,1318.0
SN39750,58.6863,7.803,2019,5,13,12,10.34814,13.25,13.1,0,0.1500000000000003,1392.0
SN76956,71.3112,22.25,2019,5,13,12,5.100099999999998,4.8387500000000045,4.4,0,0.4387500000000042,1275.0
SN61408,62.4888,7.7612,2019,5,13,12,0.760249999999985,6.238499999999988,6.7,0,0.4615000000000124,1319.0
