station_id,lat,long
SN57790,61.6788,5.2007
SN40250,59.1972,7.5273
SN49240,59.9487,6.5832
SN5350,60.3883,11.558
SN26990,59.6193,10.215
SN55520,61.345,7.2623
SN50505,60.3452,5.3713
SN83710,68.0472,16.0838
SN64510,62.9133,8.1862
SN17650,59.6002,10.7395
SN30330,59.2268,9.5772
SN71385,63.6965,10.2425
SN59695,62.16,6.2877
SN13750,61.4183,8.8945
SN20470,60.2822,10.5295
SN96650,70.4275,27.5915
SN99790,78.0625,13.6192
SN27785,59.107,10.1062
SN68230,63.3987,10.4228
SN91530,69.4818,20.5787
SN91180,69.8915,20.1387
SN9303,62.2318,9.5317
SN3480,59.546,11.4535
SN41090,58.0247,7.4517
SN67560,62.9763,10.5608
SN26810,59.7688,9.9155
SN30246,59.0645,9.9418
SN90510,69.6508,19.0065
SN41990,58.2205,6.9238
SN47445,59.625,5.4848
SN30650,59.5667,9.2105
SN55735,61.3473,6.8745
SN40510,59.3335,6.8817
SN91120,69.5599107,20.15185
SN90360,69.5463,19.0087
SN50310,60.3887,5.964
SN76938,57.408,2.8458
SN58860,61.8902,6.1065
SN50175,60.0167,5.2038
SN63705,62.6043,9.6667
SN27055,59.5735,10.181
SN35210,58.87,9.0263
SN91715,70.0033,20.8985
SN46930,59.4927,5.7208
SN5660,60.2537,12.0913
SN66175,63.2307,9.7628
SN50770,60.4612,5.3888
SN76923,61.2042,2.2687
SN18920,59.9573,10.671
SN94230,70.4107,22.8177
SN12030,60.5545,11.2502
SN2980,59.1105,11.2753
SN98790,70.0653,29.8352
SN60310,62.1362,7.1848
SN34130,58.8565,9.5745
SN68860,63.4107,10.4538
SN50540,60.383,5.3327
SN18950,59.9847,10.6693
SN44780,58.8642,5.9622
SN92860,70.1728,22.3413
SN13390,61.5298,10.0747
SN85380,68.1535,14.6485
SN76920,56.5434,3.2244
SN9380,62.2958,9.352
SN16611,62.1125,9.28625
SN18280,59.9865,10.9287
SN51610,60.6438,6.4355
SN41795,58.111,7.2092
SN15050,61.8412,8.5845
SN93000,70.607,22.4428
SN61410,62.4555,7.7703
SN93700,68.9968,23.0335
SN27730,59.1828,10.2077
SN75550,65.2023,10.9965
SN68175,63.4078,10.4388
SN16560,62.07165,9.1147
SN43350,58.4353,5.8718
SN99765,77.6873,14.7578
SN72580,64.4708,11.5705
SN26450,60.3667,9.186
SN69380,63.4115,11.7277
SN4460,60.1173,10.829
SN66150,63.3153,9.8495
SN54110,61.1033,7.5025
SN81420,67.0042,14.8982
SN87315,68.6178,15.7593
SN93900,68.7553,23.5387
SN12050,60.6215,11.2997
SN82210,67.2878,14.5932
SN33950,59.8118,7.2143
SN76937,60.8858,3.6097
SN18315,59.919,10.7623
SN41005,58.086,7.6202
SN24820,60.5325,9.1548
SN44567,58.9908,5.6545
SN17400,59.4765,10.79
SN4920,60.1268,11.3933
SN87120,69.2413,16.003
SN74670,65.0627,13.3025
SN76931,60.6435,3.7193
SN96400,71.0888,28.217
SN76922,61.2553,1.8522
SN76330,65.4567,12.2182
SN96310,71.033,27.8298
SN84880,68.3995,17.966
SN11060,60.3712,11.3588
SN76934,61.2063,1.8288
SN57770,61.5717,4.6817
SN52360,60.7915,5.6238
SN53230,60.8935,7.0557
SN5590,60.1903,12.0067
SN92500,70.1227,21.7223
SN75220,64.835,11.1408
SN24350,60.0518,10.049
SN60850,62.4317,6.4325
SN49420,60.128,6.6293
SN22890,60.8643,9.545
SN31620,59.8397,8.1785
SN84500,68.432,17.662
SN2560,59.8388,11.3625
SN80050,66.2862,13.2882
SN80705,66.8275,13.948
SN75190,64.8487,11.2322
SN39150,58.1502,8.052
SN3720,59.5873,11.0962
SN37230,59.0257,8.5187
SN66810,62.6692,10.1523
SN27415,59.125,10.3848
SN60835,62.4913,6.72544
SN70390,63.656,12.2143
SN44300,58.7605,5.6508
SN55425,61.5972,7.3892
SN41770,57.9815,7.048
SN19430,59.8923,10.5403
SN44605,59.1222,5.68
SN12291,60.8048,11.1113
SN40005,59.0283,7.548
SN63000,62.7997,8.166
SN71550,63.7045,9.6105
SN82020,67.223,15.4125
SN84900,68.4323,18.0767
SN54710,61.178,8.1125
SN25112,60.8705,8.5175
SN82720,67.3335,15.8282
SN61065,62.6112,7.1135
SN27295,59.3037,10.1975
SN76963,64.994,6.5513
SN62240,62.7603,7.3702
SN60670,62.3285,7.0663
SN90250,69.1448,19.0503
SN76954,61.3322,3.897
